Method,Score,Cost,Model
got,7.801418439716312,0.0,Llama-3.1-8B
got,7.2,0.0,Llama-3.1-8B
got,7.366666666666666,0.0,Llama-3.1-8B
got,7.366666666666666,0.0,Llama-3.1-8B
io,7.891156462585035,0.0,Mixtral-8x22B
io,7.74468085106383,0.0,Mixtral-8x22B
io,7.875,0.0,Mixtral-8x22B
io,8.615384615384615,0.0,Mixtral-8x22B
io,5.454545454545454,0.0,Mixtral-8x22B
io,8.213333333333333,0.0,Mixtral-8x22B
io,7.891156462585035,0.0,Mixtral-8x22B
io,7.196969696969696,0.0,Mixtral-8x22B
io,7.434782608695652,0.0,Mixtral-8x22B
io,5.714285714285714,0.0,Mixtral-8x22B
cot,7.404255319148937,0.0,Mixtral-8x22B
cot,8.213333333333333,0.0,Mixtral-8x22B
cot,6.590909090909091,0.0,Mixtral-8x22B
cot,7.5,0.0,Mixtral-8x22B
cot,7.891156462585035,0.0,Mixtral-8x22B
cot,7.891156462585035,0.0,Mixtral-8x22B
cot,7.875,0.0,Mixtral-8x22B
cot,8.06060606060606,0.0,Mixtral-8x22B
cot,7.090909090909091,0.0,Mixtral-8x22B
cot,8.081632653061225,0.0,Mixtral-8x22B
tot,8.235294117647058,0.0,Mixtral-8x22B
tot,8.551282051282053,0.0,Mixtral-8x22B
tot,8.235294117647058,0.0,Mixtral-8x22B
tot,11.65296803652968,0.0,Mixtral-8x22B
tot,8.615384615384615,0.0,Mixtral-8x22B
tot,8.235294117647058,0.0,Mixtral-8x22B
tot,8.551282051282053,0.0,Mixtral-8x22B
tot,8.679245283018869,0.0,Mixtral-8x22B
tot,8.33986928104575,0.0,Mixtral-8x22B
tot,8.235294117647058,0.0,Mixtral-8x22B
got,8.33986928104575,0.0,Mixtral-8x22B
got,8.12,0.0,Mixtral-8x22B
got,9.09090909090909,0.0,Mixtral-8x22B
got,8.461538461538462,0.0,Mixtral-8x22B
got,8.33986928104575,0.0,Mixtral-8x22B
got,8.461538461538462,0.0,Mixtral-8x22B
got,8.461538461538462,0.0,Mixtral-8x22B
got,8.33986928104575,0.0,Mixtral-8x22B
got,8.0,0.0,Mixtral-8x22B
got,8.235294117647058,0.0,Mixtral-8x22B
